
##### Test execution environment.
# GOARCH: amd64
# CPU: 12th Gen Intel(R) Core(TM) i3-12100F
# GOOS: linux
# OS Version: Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64

##### Testing packages.
ok  	cmd/go/internal/lockedfile	0.623s
ok  	cmd/go/internal/lockedfile/internal/filelock	0.214s
ok  	cmd/go/internal/mmap	0.102s
?   	cmd/go/internal/modcmd	[no test files]
ok  	cmd/go/internal/modfetch	0.098s
ok  	cmd/go/internal/modfetch/codehost	8.835s
ok  	cmd/go/internal/modfetch/zip_sum_test	0.105s
?   	cmd/go/internal/modget	[no test files]
ok  	cmd/go/internal/modindex	0.965s
?   	cmd/go/internal/modinfo	[no test files]
ok  	cmd/go/internal/modload	0.222s
ok  	cmd/go/internal/mvs	0.053s
?   	cmd/go/internal/run	[no test files]
?   	cmd/go/internal/search	[no test files]
ok  	cmd/go/internal/str	0.004s
?   	cmd/go/internal/telemetrycmd	[no test files]
?   	cmd/go/internal/telemetrystats	[no test files]
ok  	cmd/go/internal/test	0.257s
?   	cmd/go/internal/test/internal/genflags	[no test files]
?   	cmd/go/internal/tool	[no test files]
ok  	cmd/go/internal/toolchain	0.047s
?   	cmd/go/internal/trace	[no test files]
ok  	cmd/go/internal/vcs	0.320s
ok  	cmd/go/internal/vcweb	0.151s
ok  	cmd/go/internal/vcweb/vcstest	0.037s
?   	cmd/go/internal/version	[no test files]
ok  	cmd/go/internal/verylongtest	0.044s
?   	cmd/go/internal/vet	[no test files]
ok  	cmd/go/internal/web	0.068s
?   	cmd/go/internal/web/intercept	[no test files]
ok  	cmd/go/internal/work	0.584s
?   	cmd/go/internal/workcmd	[no test files]
ok  	cmd/gofmt	0.240s
ok  	cmd/internal/archive	7.045s
?   	cmd/internal/bio	[no test files]
ok  	cmd/internal/bootstrap_test	0.218s
?   	cmd/internal/browser	[no test files]
ok  	cmd/internal/buildid	22.968s
?   	cmd/internal/codesign	[no test files]
ok  	cmd/internal/cov	5.080s
?   	cmd/internal/cov/covcmd	[no test files]
?   	cmd/internal/disasm	[no test files]
ok  	cmd/internal/dwarf	0.098s
ok  	cmd/internal/edit	0.086s
ok  	cmd/internal/fuzztest	6.991s
?   	cmd/internal/gcprog	[no test files]
ok  	cmd/internal/goobj	0.143s
?   	cmd/internal/hash	[no test files]
?   	cmd/internal/macho	[no test files]
ok  	cmd/internal/moddeps	11.946s
ok  	cmd/internal/obj	6.166s
?   	cmd/internal/obj/arm	[no test files]
ok  	cmd/internal/obj/arm64	3.054s
ok  	cmd/internal/obj/loong64	0.946s
?   	cmd/internal/obj/mips	[no test files]
ok  	cmd/internal/obj/ppc64	1.930s
ok  	cmd/internal/obj/riscv	0.623s
ok  	cmd/internal/obj/s390x	0.163s
?   	cmd/internal/obj/wasm	[no test files]
ok  	cmd/internal/obj/x86	3.480s
ok  	cmd/internal/objabi	0.063s
?   	cmd/internal/objfile	[no test files]
ok  	cmd/internal/osinfo	0.040s
ok  	cmd/internal/par	0.134s
